EmployeeID,Age,Gender,Department,HoursWorkedPerWeek,SatisfactionScore,PerformanceRating,YearsAtCompany,Promotions,LeftCompany,ProductivityScore
104,55,Male,Marketing,50,4.1,2,13,4,No,76.0
105,21,Male,Marketing,48,4.0,5,18,2,No,73.6
106,55,Male,Operations,52,3.27,1,0,2,Yes,69.1
107,57,Female,Marketing,23,1.52,2,22,3,No,31.3
108,34,Female,HR,45,1.88,3,26,1,No,50.3
109,23,Female,Finance,50,1.96,2,11,2,No,54.6
110,21,Female,IT,50,1.15,2,13,0,No,46.5
111,25,Female,IT,46,2.52,3,14,2,No,57.4
112,46,Female,IT,44,3.44,4,6,0,No,65.2
113,34,Female,Marketing,55,1.58,3,3,0,No,54.3
114,59,Female,Marketing,50,1.7,2,13,4,No,52.0
115,47,Female,Operations,56,3.83,4,17,4,No,77.5
116,29,Female,Marketing,42,1.68,5,15,2,No,46.2
117,35,Female,Operations,54,1.54,2,25,2,No,53.2
118,35,Male,Operations,23,4.91,3,13,0,No,65.2
119,46,Male,HR,47,1.06,3,20,4,Yes,43.5
120,33,Male,HR,32,2.3,3,10,2,No,45.4
121,52,Male,HR,20,1.14,5,26,4,Yes,25.4
122,59,Male,HR,31,4.35,5,24,1,No,65.2
123,52,Male,Sales,59,3.33,3,5,0,No,74.6
124,24,Male,HR,45,1.19,1,14,4,No,43.4
125,50,Male,HR,42,3.46,3,9,2,No,64.0
126,57,Female,HR,41,1.49,3,29,0,No,43.6
127,43,Male,Operations,47,2.98,3,11,3,No,62.7
128,59,Female,IT,36,3.68,5,8,0,No,62.0
129,35,Female,IT,25,1.59,2,27,1,Yes,33.4
130,49,Female,IT,33,2.99,3,16,0,No,53.0
131,56,Female,Finance,36,2.83,2,17,4,No,53.5
132,33,Male,Sales,57,4.66,5,10,4,Yes,86.5
133,52,Male,Operations,24,4.98,5,5,2,No,66.6
134,27,Male,Marketing,32,3.62,4,18,2,No,58.6
135,42,Male,Operations,28,4.42,3,1,0,No,63.8
136,48,Female,HR,45,3.59,2,21,0,No,67.4
137,22,Male,IT,32,4.51,3,22,0,No,67.5
138,26,Male,Operations,38,2.73,4,19,4,Yes,53.9
139,48,Male,Sales,36,3.43,1,12,4,No,59.5
140,48,Male,HR,35,4.38,5,28,3,No,68.3
141,40,Female,Finance,49,4.67,4,25,3,No,81.0
142,50,Female,Marketing,51,1.1,1,8,3,Yes,46.7
143,31,Male,HR,33,1.42,3,26,2,No,37.3
144,48,Male,Marketing,34,4.72,3,11,4,Yes,71.0
145,45,Male,Operations,31,3.27,2,15,0,No,54.4
146,59,Male,HR,56,4.96,2,28,0,No,88.8
147,53,Female,Finance,30,4.17,3,18,3,No,62.7
148,21,Male,Operations,24,4.27,5,1,2,No,59.5
149,47,Female,Sales,30,2.54,5,15,2,No,46.4
150,33,Female,Marketing,53,2.03,1,26,3,No,57.4
151,23,Male,Marketing,38,3.39,4,29,0,No,60.5
152,59,Male,Sales,45,4.52,3,4,2,Yes,76.7
153,26,Female,Marketing,45,3.9,2,27,1,No,70.5
154,28,Female,Operations,36,2.89,3,24,3,Yes,54.1
155,47,Male,IT,50,4.01,5,16,0,No,75.1
156,29,Female,Sales,38,3.76,2,5,1,No,64.2
157,57,Female,Finance,39,4.65,2,23,4,No,73.8
158,53,Male,HR,42,2.05,3,6,0,No,49.9
159,44,Female,HR,44,1.48,1,5,1,No,45.6
160,35,Male,Sales,47,2.88,4,2,4,No,61.7
161,52,Male,IT,56,2.44,3,24,2,No,63.6
162,52,Female,Operations,31,4.9,4,20,0,No,70.7
163,44,Female,Finance,20,1.03,2,14,0,No,24.3
164,32,Male,HR,21,4.73,4,27,2,No,62.0
165,59,Male,HR,29,4.82,3,15,0,No,68.5
166,22,Female,Operations,53,1.2,2,16,3,No,49.1
167,23,Female,IT,51,4.56,5,8,1,No,81.3
168,57,Female,Marketing,44,2.88,4,25,4,No,59.6
169,37,Female,Sales,29,4.06,2,8,4,No,60.9
170,22,Female,IT,20,1.32,2,16,1,No,27.2
171,22,Male,IT,51,4.82,2,28,3,No,83.9
172,48,Male,IT,56,3.43,5,6,0,Yes,73.5
173,43,Male,IT,31,4.59,4,24,2,No,67.6
174,57,Female,Marketing,37,3.69,3,1,2,No,62.8
175,52,Female,Operations,49,3.15,3,25,0,No,65.8
176,53,Male,Finance,32,1.69,2,5,4,No,39.3
177,21,Male,IT,22,1.71,4,9,1,Yes,32.5
178,39,Male,IT,40,2.89,2,16,1,Yes,56.9
179,22,Male,Sales,33,4.48,3,13,4,No,67.9
180,46,Male,HR,59,1.46,3,2,1,No,55.9
181,52,Male,Marketing,29,4.99,4,26,4,No,70.2
182,26,Male,IT,21,4.5,3,15,3,No,59.7
183,52,Male,Finance,56,2.57,5,15,0,Yes,64.9
184,24,Female,Finance,30,2.01,5,4,4,No,41.1
185,31,Male,Finance,20,4.69,4,15,3,No,60.9
186,37,Female,Sales,45,1.49,2,22,4,No,46.4
187,58,Female,Finance,32,2.39,3,26,3,Yes,46.3
188,44,Female,Operations,47,1.34,2,4,3,No,46.3
189,25,Female,Sales,55,4.81,3,23,3,No,86.6
190,54,Male,Marketing,40,3.47,4,4,0,No,62.7
191,26,Male,Finance,29,2.34,4,5,4,Yes,43.7
192,42,Female,HR,31,2.1,3,17,4,Yes,42.7
193,31,Female,IT,46,2.78,3,11,4,Yes,60.0
194,36,Female,Marketing,22,1.37,3,20,3,No,29.1
195,53,Female,Operations,47,4.56,3,6,1,No,78.5
196,29,Male,HR,21,3.04,3,16,1,No,45.1
197,26,Male,Marketing,47,3.9,3,9,4,Yes,71.9
198,36,Female,Operations,50,1.93,4,8,1,Yes,54.3
199,49,Male,Finance,40,3.01,5,8,1,No,58.1
200,23,Male,Marketing,26,1.84,3,23,1,No,36.6
201,40,Female,Marketing,50,4.26,1,10,3,Yes,77.6
202,56,Male,Marketing,33,4.1,3,24,4,Yes,64.1
203,39,Male,Sales,58,1.59,3,13,4,No,56.5
204,46,Female,HR,58,1.3,4,4,2,No,53.6
205,23,Female,Operations,28,4.3,2,6,2,No,62.6
206,39,Male,Finance,42,1.44,3,16,1,No,43.8
207,40,Female,IT,31,3.19,3,22,4,No,53.6
208,52,Female,Finance,48,3.14,3,8,1,No,65.0
209,27,Male,Finance,57,1.81,3,18,3,No,58.0
210,53,Male,Sales,58,3.37,3,24,4,Yes,74.3
211,59,Male,Sales,41,3.01,4,20,3,Yes,58.8
212,38,Male,Marketing,23,3.04,2,12,3,No,46.5
213,21,Male,Finance,26,2.44,2,8,4,No,42.6
214,31,Female,HR,59,4.35,3,12,1,No,84.8
215,48,Female,Sales,27,1.34,3,13,2,No,32.3
216,45,Female,Operations,54,2.75,3,7,1,No,65.3
217,43,Female,Sales,28,2.04,2,13,2,No,40.0
218,51,Female,HR,32,4.39,3,12,0,No,66.3
219,50,Male,Sales,58,1.9,3,26,2,No,59.6
220,55,Male,HR,39,4.07,5,22,4,No,68.0
221,27,Female,IT,40,3.45,4,9,2,No,62.5
222,36,Male,HR,38,4.5,4,21,0,No,71.6
223,46,Male,IT,21,3.38,3,1,2,No,48.5
224,22,Female,Operations,59,3.23,3,11,1,No,73.6
225,21,Female,Marketing,49,4.2,1,15,2,No,76.3
226,32,Male,Marketing,42,3.25,2,6,4,Yes,61.9
227,25,Female,Sales,59,4.38,4,1,4,No,85.1
228,57,Male,HR,32,1.2,3,15,3,No,34.4
229,52,Female,Sales,52,2.98,5,21,1,No,66.2
230,29,Male,HR,51,4.25,3,5,1,No,78.2
231,55,Female,Sales,47,4.39,3,15,2,No,76.8
232,39,Male,Marketing,43,4.34,2,24,2,No,73.5
233,36,Female,Operations,47,3.42,5,12,4,No,67.1
234,23,Male,Marketing,49,4.98,3,9,3,No,84.1
235,40,Male,Sales,48,1.73,2,26,0,No,50.9
236,44,Male,HR,53,1.7,2,19,2,No,54.1
237,53,Male,Finance,41,1.13,3,8,1,No,40.0
238,44,Male,Operations,44,4.96,2,1,2,No,80.4
239,31,Male,HR,33,2.39,1,20,3,Yes,47.0
240,28,Female,Sales,29,4.05,3,15,1,Yes,60.8
241,56,Female,HR,29,1.24,1,2,3,Yes,32.7
242,58,Male,IT,27,2.19,3,21,1,No,40.8
243,40,Female,HR,33,3.5,3,1,2,Yes,58.1
244,55,Male,Marketing,57,3.1,3,28,3,No,70.9
245,45,Male,Marketing,51,1.83,3,9,4,No,54.0
246,55,Male,IT,51,2.85,2,24,1,Yes,64.2
247,45,Female,Operations,22,1.44,3,19,3,No,29.8
248,49,Male,HR,39,3.17,3,22,3,No,59.0
249,38,Female,Operations,32,1.39,4,4,0,Yes,36.3
250,38,Male,Finance,42,3.54,3,7,0,Yes,64.8
251,22,Male,HR,38,1.62,4,11,2,No,42.8
252,55,Male,Marketing,35,3.19,3,3,4,No,56.4
253,36,Female,Marketing,55,1.52,2,13,4,No,53.7
254,56,Female,Operations,54,2.6,3,22,3,No,63.8
255,53,Female,Sales,26,2.41,4,26,3,No,42.3
256,24,Female,Marketing,56,4.03,4,14,3,No,79.5
257,53,Female,Sales,27,3.56,2,20,1,No,54.5
258,34,Female,Marketing,44,4.75,2,2,2,No,78.3
259,41,Male,Marketing,42,4.69,4,23,2,No,76.3
260,40,Female,Finance,29,3.9,3,21,0,No,59.3
261,28,Male,Sales,49,4.08,3,14,3,No,75.1
262,27,Female,Sales,52,3.5,3,3,3,No,71.4
263,23,Female,Marketing,30,3.77,2,14,1,No,58.7
264,37,Female,Sales,54,3.47,3,24,3,Yes,72.5
265,53,Male,Marketing,46,2.25,4,8,3,Yes,54.7
266,32,Female,Marketing,22,2.4,4,17,2,No,39.4
267,42,Female,Operations,27,3.3,1,25,3,No,51.9
268,42,Male,HR,32,3.88,4,12,1,No,61.2
269,50,Male,Sales,22,2.62,1,8,1,Yes,41.6
270,58,Female,IT,39,1.57,5,3,4,No,43.0
271,58,Female,Operations,54,2.84,3,24,4,No,66.2
272,28,Male,Sales,32,4.85,4,12,0,No,70.9
273,47,Male,Sales,39,1.86,3,9,1,No,45.9
274,47,Male,Finance,43,3.6,5,7,1,No,66.1
275,54,Male,IT,28,4.93,5,13,2,No,68.9
276,41,Female,IT,49,2.5,2,15,4,No,59.3
277,50,Female,Finance,44,4.55,3,25,0,No,76.3
278,53,Female,Finance,35,4.46,3,29,2,No,69.1
279,48,Male,Sales,27,2.36,2,18,2,No,42.5
280,53,Female,HR,47,1.39,5,29,4,No,46.8
281,25,Male,Finance,31,1.71,3,25,2,Yes,38.8
282,39,Male,IT,43,2.46,1,6,4,No,54.7
283,24,Male,IT,48,4.84,2,11,1,No,82.0
284,55,Male,Sales,34,2.1,3,12,1,No,44.8
285,37,Male,HR,37,4.71,4,14,4,No,73.0
286,48,Male,Marketing,26,1.73,3,14,3,No,35.5
287,50,Male,Finance,32,4.88,2,17,3,Yes,71.2
288,49,Male,Finance,38,2.17,2,1,0,No,48.3
289,26,Female,Sales,24,3.53,5,13,3,No,52.1
290,55,Male,Operations,45,1.28,1,19,0,No,44.3
291,57,Female,Operations,21,2.2,5,25,4,No,36.7
292,44,Male,HR,52,1.84,5,6,4,No,54.8
293,49,Female,IT,56,1.01,3,19,4,No,49.3
294,51,Female,IT,44,1.63,5,1,0,Yes,47.1
295,55,Female,Marketing,44,3.37,2,27,2,No,64.5
296,53,Female,IT,58,2.56,5,1,0,No,66.2
297,41,Male,Operations,49,3.89,2,4,2,Yes,73.2
298,52,Male,Operations,23,3.68,3,2,1,No,52.9
299,43,Male,Finance,38,4.2,3,2,1,Yes,68.6
300,53,Male,Marketing,46,4.47,3,0,2,No,76.9
301,23,Male,HR,58,4.28,2,18,2,Yes,83.4
302,38,Female,Marketing,43,2.79,4,19,3,Yes,58.0
303,45,Female,HR,56,2.23,4,11,2,No,61.5
304,51,Female,Operations,44,3.01,5,21,2,No,60.9
305,23,Female,IT,48,3.14,3,26,4,Yes,65.0
306,44,Female,Sales,50,2.25,3,5,0,No,57.5
307,52,Female,Marketing,54,3.16,5,27,2,Yes,69.4
308,42,Female,Marketing,47,1.42,5,20,4,Yes,47.1
309,43,Male,Finance,57,1.92,3,19,2,No,59.1
310,22,Male,Finance,23,3.98,4,5,3,No,55.9
311,47,Female,Operations,47,1.73,3,12,2,No,50.2
312,22,Female,HR,50,1.56,3,28,2,No,50.6
313,46,Female,Sales,42,2.15,4,20,4,No,50.9
314,37,Male,Finance,33,2.48,4,9,2,No,47.9
315,53,Female,Finance,47,2.31,2,0,4,Yes,56.0
316,29,Male,IT,33,2.5,1,15,0,Yes,48.1
317,59,Male,IT,20,1.56,3,13,4,Yes,29.6
318,49,Male,Operations,51,1.66,4,27,0,Yes,52.3
319,46,Male,Operations,37,1.94,2,17,2,No,45.3
320,55,Male,Finance,24,2.61,4,13,0,Yes,42.9
321,45,Male,HR,34,2.34,3,24,1,No,47.2
322,44,Male,Sales,35,4.17,3,9,1,No,66.2
323,33,Male,Finance,55,3.1,2,19,4,No,69.5
324,27,Female,HR,55,3.3,5,21,3,Yes,71.5
325,56,Female,HR,59,3.24,2,4,2,No,73.7
326,40,Male,Finance,49,2.6,2,1,1,No,60.3
327,21,Male,HR,57,4.92,3,16,3,No,89.1
328,28,Female,Marketing,42,1.15,2,0,4,No,40.9
329,36,Male,HR,30,1.86,2,0,0,No,39.6
330,34,Male,Finance,44,2.14,3,5,2,No,52.2
331,32,Female,HR,21,4.53,3,25,0,No,60.0
332,43,Female,Finance,54,4.68,3,6,2,No,84.6
333,35,Male,IT,43,4.38,2,6,1,No,73.9
334,48,Male,Finance,32,2.67,4,24,3,Yes,49.1
335,54,Male,HR,56,4.66,3,15,4,No,85.8
336,22,Female,Finance,49,1.39,5,18,2,No,48.2
337,52,Male,Sales,30,3.61,3,29,1,No,57.1
338,43,Male,Finance,42,4.75,4,8,4,No,76.9
339,42,Male,Finance,47,4.02,3,0,2,Yes,73.1
340,45,Female,Sales,48,2.11,3,17,1,Yes,54.7
341,42,Female,Sales,34,3.87,3,6,4,Yes,62.5
342,42,Female,Sales,22,2.18,3,27,0,No,37.2
343,26,Female,Operations,28,1.45,3,17,3,No,34.1
344,35,Male,Marketing,27,3.87,3,9,3,Yes,57.6
345,57,Female,Operations,52,1.72,4,26,0,No,53.6
346,53,Female,Finance,53,1.44,3,19,3,No,51.5
347,28,Male,Operations,28,3.21,2,1,3,Yes,51.7
348,25,Female,Operations,36,3.48,5,10,2,No,60.0
349,59,Female,Sales,20,1.2,3,17,1,No,26.0
350,24,Female,Sales,59,1.02,3,10,0,No,51.5
351,26,Male,IT,24,4.53,5,13,1,No,62.1
352,52,Female,Operations,49,1.46,5,12,3,No,48.9
353,50,Female,Marketing,30,3.34,1,0,1,No,54.4
354,55,Male,Finance,47,4.81,1,24,4,No,81.0
355,36,Male,HR,57,3.05,1,9,0,No,70.4
356,33,Male,Marketing,36,1.56,3,14,0,No,40.8
357,50,Female,Marketing,42,2.57,4,18,0,Yes,55.1
358,39,Female,IT,37,3.5,4,28,2,No,60.9
359,37,Male,Finance,56,4.05,3,16,1,No,79.7
360,39,Male,Finance,46,3.43,2,9,1,No,66.5
361,48,Male,Sales,44,1.14,2,21,2,Yes,42.2
362,46,Female,Sales,24,1.57,5,7,0,Yes,32.5
363,57,Male,Marketing,38,2.49,5,22,2,Yes,51.5
364,46,Female,IT,46,3.82,2,6,2,No,70.4
365,43,Female,Finance,32,3.34,2,17,3,No,55.8
366,29,Female,IT,26,1.18,3,26,0,No,30.0
367,32,Male,HR,45,4.19,1,3,4,No,73.4
368,21,Male,Finance,33,3.42,2,5,3,No,57.3
369,21,Male,Sales,46,4.55,3,1,0,No,77.7
370,54,Male,Marketing,27,2.67,2,12,0,No,45.6
371,52,Male,IT,50,2.96,4,20,0,No,64.6
372,45,Female,Sales,54,2.62,5,11,1,No,64.0
373,21,Male,Marketing,46,3.89,5,4,0,No,71.1
374,36,Male,Sales,23,4.01,3,18,0,No,56.2
375,59,Male,Finance,23,3.89,4,1,4,No,55.0
376,25,Male,IT,37,2.17,3,10,0,No,47.6
377,42,Female,HR,42,3.54,2,22,2,No,64.8
378,49,Male,Operations,51,2.35,3,7,0,No,59.2
379,23,Male,Sales,31,4.34,3,3,0,No,65.1
380,32,Female,Operations,39,1.22,1,3,0,No,39.5
381,46,Male,IT,31,1.15,3,10,1,No,33.2
382,36,Male,Finance,27,1.41,2,13,3,No,33.0
383,57,Male,Sales,41,1.81,4,8,1,No,46.8
384,42,Male,Finance,46,1.15,5,19,4,No,43.7
385,49,Male,HR,36,1.29,2,25,4,No,38.1
386,34,Male,HR,51,2.22,1,13,2,No,57.9
387,48,Female,Marketing,52,1.4,1,27,2,No,50.4
388,25,Male,Marketing,50,4.21,5,2,4,Yes,77.1
389,50,Female,Marketing,25,1.22,2,26,3,No,29.7
390,25,Female,Finance,58,4.63,3,12,3,Yes,86.9
391,32,Male,Marketing,28,4.48,1,13,4,No,64.4
392,36,Male,IT,51,1.83,3,16,0,Yes,54.0
393,46,Male,Operations,55,1.29,4,2,1,No,51.4
394,46,Female,Operations,35,1.42,3,14,1,No,38.7
395,41,Female,Finance,31,3.24,4,20,0,No,54.1
396,59,Female,Finance,22,3.4,3,28,3,No,49.4
397,56,Male,Marketing,46,2.26,3,1,1,No,54.8
398,53,Female,Operations,46,2.19,4,20,1,No,54.1
399,50,Male,Operations,28,3.13,4,24,2,No,50.9
400,57,Male,Marketing,36,2.22,4,9,3,Yes,47.4
401,43,Male,Finance,24,4.74,3,26,4,Yes,64.2
402,30,Male,HR,45,2.53,4,21,4,No,56.8
403,25,Male,HR,40,1.88,2,14,0,No,46.8
404,56,Female,Marketing,20,1.58,5,18,1,No,29.8
405,54,Female,HR,20,3.53,2,20,4,No,49.3
406,51,Female,IT,54,2.31,3,11,0,Yes,60.9
407,30,Male,IT,28,1.76,3,16,2,No,37.2
408,39,Female,IT,42,2.1,2,15,3,No,50.4
409,52,Male,Finance,57,2.23,3,7,1,Yes,62.2
410,21,Male,Finance,23,3.5,2,24,1,Yes,51.1
411,25,Male,Finance,38,1.7,5,4,0,No,43.6
412,24,Male,Finance,56,3.93,4,24,1,No,78.5
413,36,Male,Finance,24,2.22,3,23,3,No,39.0
414,44,Male,Marketing,47,2.95,3,14,4,No,62.4
415,36,Female,HR,42,3.62,2,7,0,No,65.6
416,22,Female,Marketing,57,3.17,4,17,3,No,71.6
417,48,Male,HR,42,3.65,3,20,1,No,65.9
418,52,Female,Marketing,37,2.29,2,27,4,No,48.8
419,47,Female,IT,48,4.85,5,7,3,No,82.1
420,40,Male,Sales,47,2.84,3,18,4,No,61.3
421,44,Female,Finance,28,2.29,1,16,4,No,42.5
422,32,Male,Sales,58,2.19,4,29,0,No,62.5
423,55,Female,Sales,29,1.17,4,26,1,No,32.0
424,53,Female,IT,21,3.74,3,3,2,No,52.1
425,53,Female,Sales,32,2.05,2,3,2,Yes,42.9
426,57,Female,Sales,57,4.84,3,25,2,No,88.3
427,32,Female,IT,46,1.84,4,19,3,No,50.6
428,23,Female,HR,39,3.12,1,19,2,Yes,58.5
429,21,Male,Marketing,59,3.94,2,8,1,No,80.7
430,53,Male,Operations,29,4.48,3,26,2,Yes,65.1
431,30,Male,Sales,35,1.63,3,13,4,No,40.8
432,49,Male,Finance,34,4.94,5,0,4,No,73.2
433,33,Male,IT,32,4.63,4,8,4,No,68.7
434,32,Female,Sales,57,4.85,5,22,2,No,88.4
435,51,Male,Operations,39,4.41,3,12,1,No,71.4
436,22,Female,HR,43,4.51,4,29,1,Yes,75.2
437,55,Female,HR,26,3.4,1,20,2,No,52.2
438,43,Female,Operations,42,4.38,2,17,1,No,73.2
439,37,Female,Finance,43,3.14,3,29,2,Yes,61.5
440,46,Male,Sales,48,3.15,4,9,1,No,65.1
441,28,Female,Finance,24,3.25,3,27,0,No,49.3
442,49,Male,HR,54,4.99,3,25,0,No,87.7
443,46,Male,HR,20,1.42,2,25,1,No,28.2
444,30,Male,Marketing,55,4.22,2,3,4,No,80.7
445,46,Male,HR,37,2.09,4,26,0,Yes,46.8
446,54,Female,IT,25,2.44,2,14,3,No,41.9
447,27,Male,Marketing,42,1.32,3,3,2,No,42.6
448,24,Male,Finance,29,2.41,4,19,3,No,44.4
449,31,Female,HR,26,4.96,2,10,1,No,67.8
450,49,Female,Operations,27,2.59,2,11,1,No,44.8
451,56,Male,IT,32,3.68,3,12,4,No,59.2
452,45,Female,Marketing,49,1.48,3,1,0,No,49.1
453,41,Female,IT,37,4.69,3,7,0,No,72.8
454,56,Female,Marketing,33,4.31,3,3,3,No,66.2
455,30,Male,Marketing,30,2.55,3,8,0,Yes,46.5
456,57,Male,Marketing,57,2.39,4,1,1,No,63.8
457,29,Male,Operations,32,2.73,5,22,4,No,49.7
458,44,Male,Finance,52,2.61,5,4,2,No,62.5
459,55,Female,Marketing,32,2.03,3,4,3,Yes,42.7
460,55,Male,Marketing,44,4.96,3,22,3,No,80.4
461,56,Female,IT,43,4.24,3,3,2,No,72.5
462,38,Male,Marketing,48,2.07,3,18,1,No,54.3
463,59,Female,Finance,55,4.93,3,8,3,No,87.8
464,52,Male,Operations,25,1.06,1,11,0,No,28.1
465,44,Female,Operations,37,2.75,1,2,0,No,53.4
466,43,Female,IT,47,3.28,4,4,0,No,65.7
467,52,Female,Marketing,24,1.15,3,1,4,No,28.3
468,57,Male,IT,37,1.64,4,22,2,No,42.3
469,32,Male,Operations,56,2.03,3,12,1,No,59.5
470,33,Female,Finance,26,3.88,4,27,0,No,57.0
471,43,Male,IT,28,4.76,3,26,0,No,67.2
472,45,Male,Finance,54,3.5,2,6,4,No,72.8
